home_pos,home_value,home_score_form,home_concede_form,away_pos,away_value,away_score_form,away_concede_form,home_result_score,away_result_score
11,1219,1.3333333333333333,7,3,1428,5,2,0,2
9,1248,1.3333333333333333,4,6,1282,8,4,1,0
3,1455,1.3333333333333333,3,9,1255,6,1,3,0
2,1472,2.0,3,12,1089,3,5,2,2
19,1235,1.3333333333333333,6,20,1157,2,6,3,2
6,1375,4.333333333333333,2,5,1330,2,4,0,2
17,1199,0.6666666666666666,8,8,1300,8,5,0,2
3,1242,1.0,5,12,1256,3,4,1,2
10,1297,1.6666666666666667,6,7,1361,3,3,1,0
12,1021,2.0,6,16,1304,4,5,1,3
17,1160,0.6666666666666666,2,9,1294,1,6,4,3
15,1325,0.6666666666666666,2,1,1436,3,2,1,1
4,1454,1.3333333333333333,3,6,1419,4,5,1,0
10,1319,2.3333333333333335,1,5,1370,9,1,2,5
17,1295,0.6666666666666666,5,13,1235,5,6,3,1
8,1276,1.3333333333333333,1,3,1399,5,5,3,1
1,1453,0.3333333333333333,1,2,1485,8,2,2,1
20,1148,0.6666666666666666,7,15,1234,1,3,1,1
10,1253,0.3333333333333333,4,15,1299,2,9,2,1
7,1372,1.0,2,4,1414,3,4,2,1
8,1296,0.6666666666666666,5,10,1031,4,7,1,2
12,1251,1.3333333333333333,4,18,1236,6,6,1,1
5,1424,2.0,7,17,1139,2,4,1,1
5,1378,3.0,1,12,1261,1,2,3,0
15,1323,1.0,8,19,1292,1,7,1,1
3,1399,1.6666666666666667,6,1,1450,3,0,1,0
4,1434,2.0,3,20,1173,1,8,2,1
11,1257,2.0,7,13,1251,4,2,2,1
13,1132,2.0,7,9,1228,4,3,0,3
17,1160,1.0,7,9,1276,6,4,0,0
15,1309,0.3333333333333333,4,8,1315,5,4,1,0
2,1490,3.0,2,5,1424,8,7,2,1
17,1235,1.6666666666666667,6,7,1359,5,1,1,1
9,1317,1.3333333333333333,3,8,1320,6,3,3,0
9,1291,1.3333333333333333,5,19,1293,2,8,3,0
16,1253,0.3333333333333333,3,4,1434,5,5,0,1
8,1292,1.3333333333333333,3,3,1406,7,5,2,1
1,1440,2.0,2,7,1342,7,2,1,0
19,1297,0.6666666666666666,7,13,1316,4,4,1,1
5,1433,2.0,5,12,1275,6,6,2,2
10,1216,0.6666666666666666,10,18,1233,3,2,4,2
6,1294,1.6666666666666667,3,15,1295,4,4,5,0
18,1160,0.6666666666666666,9,9,1189,4,2,1,1
9,1251,1.6666666666666667,3,11,1315,7,4,1,1
2,1473,2.3333333333333335,2,20,1150,3,9,3,0
5,1435,1.0,2,3,1405,4,2,3,3
2,1473,1.6666666666666667,2,15,1300,5,2,3,1
9,1183,1.3333333333333333,6,1,1440,7,2,0,0
2,1406,1.6666666666666667,3,6,1373,6,2,1,1
19,1144,0.6666666666666666,7,9,1251,3,3,1,2
10,1276,2.3333333333333335,5,3,1485,4,1,1,3
7,1338,2.3333333333333335,3,16,1312,3,3,2,0
18,1178,1.0,8,17,1202,2,2,1,3
13,1281,1.3333333333333333,4,14,1272,2,10,2,0
6,1365,2.0,3,4,1417,6,2,3,0
17,1139,1.0,8,2,1335,2,2,1,3
14,1251,1.3333333333333333,6,9,1174,5,7,1,0
19,1297,1.6666666666666667,7,7,1247,5,4,0,3
5,1420,1.0,3,12,1315,5,4,3,2
13,1305,0.0,7,10,1270,7,4,2,3
1,1435,2.0,5,10,1312,7,4,2,0
3,1480,2.0,2,20,1225,2,2,1,0
7,1294,1.3333333333333333,5,19,1147,5,4,3,0
14,1315,1.3333333333333333,5,15,1304,4,4,1,1
10,1321,1.6666666666666667,5,17,1148,3,9,3,0
3,1417,0.6666666666666666,3,11,1205,0,4,5,0
12,1271,2.0,4,6,1410,6,4,2,1
10,1299,1.6666666666666667,4,3,1485,7,2,1,1
9,1258,0.6666666666666666,7,19,1297,8,3,4,1
7,1249,1.6666666666666667,3,15,1256,6,5,2,2
14,1270,1.0,6,8,1291,4,4,2,1
2,1424,1.0,2,13,1311,5,9,0,0
18,1144,2.0,1,1,1412,3,5,2,4
20,1225,0.6666666666666666,6,5,1423,4,6,0,0
9,1304,0.3333333333333333,4,6,1410,5,5,0,2
3,1485,1.6666666666666667,2,4,1437,3,3,2,0
5,1432,2.0,7,17,1163,9,4,0,0
20,1225,0.3333333333333333,6,19,1241,2,6,2,1
16,1294,1.6666666666666667,3,2,1327,3,0,2,2
10,1310,0.3333333333333333,5,11,1283,4,3,4,0
1,1423,2.0,5,7,1291,6,3,1,0
13,1322,1.0,7,15,1144,4,8,2,2
13,1190,2.3333333333333335,5,15,1300,8,4,0,1
8,1370,1.6666666666666667,2,11,1319,4,3,2,1
9,1354,1.3333333333333333,3,17,1241,2,5,1,1
15,1121,1.3333333333333333,6,4,1470,2,2,1,3
6,1418,1.0,4,1,1438,7,3,3,1
19,1145,1.6666666666666667,3,5,1426,5,5,3,3
18,1241,0.6666666666666666,2,16,1276,5,5,1,3
16,1168,2.0,5,12,1289,1,3,3,0
9,1202,1.0,1,10,1367,7,5,1,2
10,1319,1.0,3,14,1306,4,8,3,2
6,1285,1.3333333333333333,3,12,1209,7,4,3,2
2,1418,2.3333333333333335,4,7,1202,3,7,0,0
3,1434,1.6666666666666667,3,20,1205,5,8,1,0
4,1476,1.3333333333333333,3,1,1449,7,3,2,1
10,1290,1.0,4,17,1280,4,7,1,1
18,1167,2.0,5,6,1403,4,1,3,1
3,1401,2.0,4,13,1316,3,2,1,1
17,1294,1.0,4,14,1117,7,7,4,0
18,1183,2.3333333333333335,6,1,1367,6,4,0,4
9,1278,2.0,4,7,1285,4,2,1,1
10,1389,2.0,7,7,1205,5,9,2,0
11,1212,1.3333333333333333,6,13,1316,3,5,4,1
2,1436,2.6666666666666665,5,10,1283,3,5,1,0
12,1120,1.6666666666666667,9,4,1340,5,2,3,1
17,1281,1.6666666666666667,8,20,1299,2,4,1,1
14,1296,1.3333333333333333,2,9,1275,4,5,0,2
12,1316,1.0,3,5,1454,8,3,0,0
8,1289,0.6666666666666666,6,13,1371,8,7,2,0
2,1431,3.0,5,20,1299,2,5,2,0
7,1302,2.0,8,4,1343,4,2,1,2
1,1379,2.3333333333333335,5,3,1458,5,3,2,1
17,1275,0.6666666666666666,7,19,1157,5,4,3,3
